epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,4633.17,0.58433,0.31587,0.9922,0.92776,0.93943,0.9569,0.69646,1.05078,0.45564,1.61044,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4692.33,0.58511,0.31743,0.9905,0.93645,0.93552,0.95982,0.70468,1.05892,0.4512,1.6285,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4750.92,0.57743,0.31451,0.99034,0.93574,0.93298,0.95711,0.6962,1.05502,0.45419,1.63901,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4809.38,0.57288,0.31008,0.98921,0.93451,0.93086,0.95678,0.70365,1.06081,0.45717,1.65045,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4868.31,0.56067,0.30713,0.97932,0.94195,0.9272,0.95731,0.70341,1.05685,0.45662,1.64063,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4927.09,0.5609,0.30639,0.98183,0.94106,0.93069,0.96143,0.71089,1.05279,0.46336,1.64224,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4986.08,0.55009,0.29679,0.97483,0.94123,0.92953,0.96151,0.70935,1.05551,0.46562,1.64762,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5045.44,0.54685,0.29743,0.97483,0.93391,0.92996,0.96033,0.7059,1.05648,0.46751,1.66609,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5110.69,0.54754,0.29789,0.97565,0.9324,0.93186,0.9554,0.69683,1.05383,0.46656,1.66375,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5169.84,0.52691,0.28724,0.96181,0.93795,0.92437,0.9571,0.699,1.056,0.47271,1.67484,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5229.59,0.52946,0.28807,0.96346,0.92626,0.93643,0.95682,0.69744,1.05503,0.46693,1.67079,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,5288.88,0.52538,0.28753,0.96503,0.94108,0.92429,0.95651,0.70349,1.05036,0.46921,1.67634,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,5347.83,0.52329,0.28727,0.96599,0.93386,0.92916,0.95674,0.70243,1.04704,0.46448,1.68889,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,5406.86,0.51495,0.28055,0.96284,0.93195,0.93186,0.95751,0.70434,1.04701,0.46361,1.6933,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,5471.34,0.44195,0.21661,0.90616,0.94348,0.92079,0.95558,0.6976,1.05198,0.46389,1.70023,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,5529.53,0.40829,0.19895,0.88422,0.9344,0.92911,0.95845,0.71039,1.05136,0.46337,1.69215,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,5588.29,0.3991,0.19705,0.88532,0.93398,0.93107,0.95813,0.7105,1.04934,0.46841,1.69712,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,5647.06,0.39339,0.19442,0.88213,0.92785,0.9371,0.95812,0.71044,1.05125,0.47538,1.706,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5705.8,0.38409,0.1917,0.87409,0.92902,0.93826,0.95697,0.71134,1.04725,0.47622,1.70366,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,5764.71,0.37315,0.18572,0.8665,0.93147,0.9341,0.95848,0.71423,1.04452,0.47968,1.70285,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,5823.57,0.36631,0.183,0.86585,0.93287,0.93079,0.95789,0.71417,1.04315,0.47879,1.69883,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,5881.99,0.36268,0.18128,0.8624,0.93547,0.92867,0.95824,0.7159,1.0444,0.47465,1.697,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,5940.69,0.35439,0.17605,0.85927,0.94505,0.91788,0.95793,0.71643,1.04604,0.47987,1.69893,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,5999.29,0.34279,0.17252,0.85553,0.93084,0.93289,0.95803,0.71647,1.04619,0.48302,1.69548,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
